Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
To verify if on clicking the > button admin is moved to the next page and < moves admin to the previous in the pagination,RP-175,10210,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,08/Sep/21 4:33 AM,08/Sep/21 3:50 PM,09/Sep/21 4:50 AM,08/Sep/21 4:41 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-172,,,,,,,,,{},,,,,,,0|i0009f:,,Products Sprint,,,,,,,,Done
To verify if on clicking the >| button admin is moved to the last page and |< moves admin to very first page in the pagination,RP-174,10209,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,08/Sep/21 4:30 AM,08/Sep/21 3:50 PM,09/Sep/21 4:50 AM,08/Sep/21 4:41 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-172,,,,,,,,,{},,,,,,,0|i00097:,,Products Sprint,,,,,,,,Done
"To verify if on clicking the page number in the pagination, it opens that page of product",RP-173,10208,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,08/Sep/21 4:23 AM,08/Sep/21 3:50 PM,09/Sep/21 4:50 AM,08/Sep/21 4:41 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-172,,,,,,,,,{},,,,,,,0|i0008z:,,Products Sprint,,,,,,,,Done
"As the admin, I want to be able to use the pagination to traverse the list of products",RP-172,10207,Story,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,08/Sep/21 4:23 AM,08/Sep/21 7:32 AM,09/Sep/21 4:50 AM,08/Sep/21 4:41 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-1,,,,,,,,,{},,,,,,,0|i0008r:,,Products Sprint,,,,,,,,Done
" As the admin, I want to click on ""Edit"" button so that I can edit an existing product",RP-171,10206,Story,Blocked,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:13 AM,08/Sep/21 7:31 AM,09/Sep/21 4:50 AM,,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-1,,,,,,,,,{},,,,,,,0|i00087:,,Products Sprint,,,,,,,,In Progress
"Original font can't be selected anymore after changing it in ""Font Family""",RP-170,10205,Bug,To Do,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:12 AM,09/Sep/21 3:38 AM,09/Sep/21 4:50 AM,,,0,"Restoring default font style which is Open sans

step to reproduce :

Go to products

go to Edit on the product which needs to be edited

select a different font style from font family dropdown

try to restore the original font Open Sans from the dropdown

Expected result :

Open Sans should be available in the dropdown

Actual Result :

Open Sans is not available in the dropdown

!Screenshot 2021-09-03 153023.png|width=645,height=350!

!Screenshot 2021-09-03 153058.png|width=581,height=232!",,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-145,,06/Sep/21 11:12 AM;ug:39b16568-d855-4cf2-988f-ebe282735816;Screenshot 2021-09-03 153023.png;https://corporateola7.atlassian.net/secure/attachment/10010/Screenshot+2021-09-03+153023.png,06/Sep/21 11:12 AM;ug:39b16568-d855-4cf2-988f-ebe282735816;Screenshot 2021-09-03 153058.png;https://corporateola7.atlassian.net/secure/attachment/10011/Screenshot+2021-09-03+153058.png,,,,,,{},,,,,,,0|i00088:i,,Products Sprint,,,,,,,,To Do
"""Reset To Default"" under ""More Colors"" in ""Description"" fails to change color back to default",RP-169,10204,Bug,To Do,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:12 AM,09/Sep/21 3:38 AM,09/Sep/21 4:50 AM,,,0,"Restoring font color to default

step to reproduce :

Go to products

go to Edit on product to be edited

go to more colors field and select any color from foreground option

select “restore to default“

type texts in the “description“ field

Expected result :

texts inserted should be of default color which is Black

Actual Result :

text inserted remains the previously selected color

!Screenshot 2021-09-03 171343.png|width=551,height=79!

!Screenshot 2021-09-03 172037.png|width=665,height=144!",,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,RP-167,,RP-167,,06/Sep/21 11:12 AM;ug:39b16568-d855-4cf2-988f-ebe282735816;Screenshot 2021-09-03 171343.png;https://corporateola7.atlassian.net/secure/attachment/10008/Screenshot+2021-09-03+171343.png,06/Sep/21 11:12 AM;ug:39b16568-d855-4cf2-988f-ebe282735816;Screenshot 2021-09-03 172037.png;https://corporateola7.atlassian.net/secure/attachment/10009/Screenshot+2021-09-03+172037.png,,,,,,{},,,,,,,0|i00088:,,Products Sprint,,,,,,,,To Do
"To verify that if mouse is hovered on ""Product Tags"" it displays ""Comma Separated""",RP-168,10203,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:11 AM,08/Sep/21 3:50 PM,09/Sep/21 4:50 AM,07/Sep/21 6:09 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:zvi,,Products Sprint,,,,,,,,Done
"To verify ""Transparent"" and ""Restore to Default"" buttons in ""More Color""",RP-167,10202,Test,Blocked,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:11 AM,08/Sep/21 7:32 AM,09/Sep/21 4:50 AM,,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:zxi,,Products Sprint,,,,,,,,In Progress
"To verify if ""Ordered List"" option can be used  in ""Description"" field to Ordered list",RP-165,10200,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:11 AM,08/Sep/21 3:51 PM,09/Sep/21 4:50 AM,07/Sep/21 6:09 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:zt,,Products Sprint,,,,,,,,Done
